no cancel	 0.0004555	 0.0000011	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001440	 0.0000003	 3.162386	 0.010336	 10.000683	 0.065376
both (global)	 0.0001152	 0.0000003	 3.954189	 0.013019	 15.635609	 0.102961
RM	 0.0002426	 0.0000011	 1.877458	 0.009615	 3.524848	 0.036104
no cancel	 0.0002889	 0.0000007	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001242	 0.0000003	 2.326976	 0.007617	 5.414818	 0.035448
both (global)	 0.0000984	 0.0000002	 2.936898	 0.009551	 8.625369	 0.056102
RM	 0.0002003	 0.0000011	 1.442581	 0.008348	 2.081041	 0.024085
no cancel	 0.0001873	 0.0000004	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000999	 0.0000002	 1.874166	 0.006178	 3.512498	 0.023157
both (global)	 0.0000764	 0.0000002	 2.453046	 0.008047	 6.017437	 0.039478
RM	 0.0001546	 0.0000007	 1.211923	 0.006439	 1.468757	 0.015608
no cancel	 0.0001309	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000870	 0.0000002	 1.503878	 0.004891	 2.261649	 0.014710
both (global)	 0.0000625	 0.0000001	 2.095612	 0.006824	 4.391589	 0.028602
RM	 0.0001280	 0.0000007	 1.022355	 0.005753	 1.045209	 0.011764
no cancel	 0.0001445	 0.0000003	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001239	 0.0000003	 1.167046	 0.003802	 1.361996	 0.008874
both (global)	 0.0000890	 0.0000002	 1.623315	 0.005273	 2.635152	 0.017119
RM	 0.0001774	 0.0000009	 0.814774	 0.004626	 0.663856	 0.007539
no cancel	 0.0002640	 0.0000006	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0002540	 0.0000006	 1.039222	 0.003403	 1.079982	 0.007072
both (global)	 0.0001955	 0.0000004	 1.350085	 0.004398	 1.822729	 0.011877
RM	 0.0003470	 0.0000017	 0.760900	 0.004038	 0.578969	 0.006145
no cancel	 0.0000883	 0.0000002	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0000783	 0.0000002	 1.128674	 0.003653	 1.273905	 0.008246
both (global)	 0.0000588	 0.0000001	 1.501471	 0.004854	 2.254415	 0.014576
RM	 0.0001115	 0.0000006	 0.792227	 0.004766	 0.627623	 0.007552
no cancel	 0.0004885	 0.0000011	 0.000000	 0.000000	 0.000000	 0.000000
shape (global)	 0.0001166	 0.0000003	 4.190166	 0.013579	 17.557494	 0.113797
